epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.183,1.31516,1.52644,0.93212,0.69065,0.09124,0.31712,0.20475,1.17899,2.5882,0.85958,0.000657534,0.000657534,0.000657534
2,905.906,1.17728,0.83937,0.8966,0.76579,0.75344,0.74927,0.40084,1.23419,1.04855,0.88163,0.00129798,0.00129798,0.00129798
3,1344.59,1.14281,0.76138,0.88917,0.9155,0.89043,0.9475,0.63404,0.9991,0.6747,0.85392,0.00191203,0.00191203,0.00191203
4,1792.7,1.12757,0.68901,0.88633,0.92038,0.89457,0.93896,0.62784,1.00879,0.64529,0.8526,0.0018812,0.0018812,0.0018812
5,2248.87,1.06546,0.62303,0.88396,0.93714,0.89445,0.94828,0.60871,1.01225,0.63288,0.85452,0.0018416,0.0018416,0.0018416
6,2825.08,1.07774,0.60027,0.87733,0.94439,0.93391,0.9662,0.66109,0.91832,0.54747,0.8425,0.001802,0.001802,0.001802
7,5214.03,1.05533,0.57386,0.87257,0.91576,0.91652,0.95856,0.64124,0.95968,0.52651,0.8467,0.0017624,0.0017624,0.0017624
8,5626.46,0.99712,0.5534,0.86705,0.92913,0.91913,0.95641,0.66666,0.9469,0.51273,0.8466,0.0017228,0.0017228,0.0017228
9,6078.06,1.01386,0.54087,0.87195,0.95023,0.88,0.96067,0.68089,0.9034,0.48143,0.84191,0.0016832,0.0016832,0.0016832
10,6539.34,0.99215,0.53113,0.86409,0.93569,0.91086,0.965,0.66872,0.95509,0.50842,0.85063,0.0016436,0.0016436,0.0016436
11,6991.58,0.98602,0.50992,0.86675,0.96206,0.92614,0.97268,0.64835,0.9496,0.50403,0.84478,0.001604,0.001604,0.001604
12,7438.2,1.01017,0.51532,0.86353,0.94809,0.92522,0.9756,0.69609,0.90667,0.44999,0.83667,0.0015644,0.0015644,0.0015644
13,7883.92,0.98356,0.49903,0.85829,0.95761,0.92522,0.97839,0.72031,0.84786,0.44445,0.8314,0.0015248,0.0015248,0.0015248
14,8328.47,0.95588,0.48679,0.85886,0.9562,0.93826,0.98107,0.71319,0.87508,0.45252,0.83747,0.0014852,0.0014852,0.0014852
15,8770.92,0.9481,0.4851,0.86035,0.96007,0.94085,0.9795,0.67559,0.95747,0.47828,0.84771,0.0014456,0.0014456,0.0014456
16,9211.77,0.94282,0.47099,0.85684,0.97464,0.92696,0.98374,0.72167,0.86404,0.42844,0.83481,0.001406,0.001406,0.001406
17,9656.73,0.93961,0.47186,0.85342,0.93672,0.95478,0.98214,0.72357,0.88172,0.44084,0.83466,0.0013664,0.0013664,0.0013664
18,10103.1,0.92369,0.46779,0.85573,0.95856,0.93826,0.97866,0.69333,0.88278,0.44216,0.83563,0.0013268,0.0013268,0.0013268
19,10550.7,0.91242,0.45819,0.8495,0.96986,0.95137,0.98615,0.74028,0.84126,0.43506,0.83411,0.0012872,0.0012872,0.0012872
20,11001.3,0.94904,0.47369,0.85641,0.96198,0.93304,0.97668,0.71813,0.85706,0.45697,0.83479,0.0012476,0.0012476,0.0012476
21,11449.9,0.90747,0.45404,0.84866,0.94991,0.9564,0.98123,0.73215,0.81553,0.41871,0.83144,0.001208,0.001208,0.001208
22,11907.6,0.89201,0.44787,0.85303,0.96213,0.93478,0.98634,0.74602,0.80907,0.40636,0.83027,0.0011684,0.0011684,0.0011684
23,12379.5,0.89488,0.43706,0.84584,0.97566,0.9413,0.98559,0.7477,0.80474,0.39737,0.82686,0.0011288,0.0011288,0.0011288
24,12880.7,0.86595,0.43316,0.8459,0.97431,0.92174,0.98153,0.73586,0.82039,0.40783,0.8286,0.0010892,0.0010892,0.0010892
25,13362.2,0.8647,0.4323,0.84215,0.94247,0.95436,0.98162,0.71415,0.85272,0.40975,0.8321,0.0010496,0.0010496,0.0010496
26,13855.1,0.88238,0.43159,0.84431,0.96847,0.94435,0.9855,0.75048,0.81383,0.40836,0.82886,0.00101,0.00101,0.00101
27,14346.8,0.87142,0.4262,0.84321,0.97646,0.94261,0.98522,0.74831,0.80424,0.39705,0.8257,0.0009704,0.0009704,0.0009704
28,16177.8,0.84431,0.41485,0.84069,0.97091,0.93391,0.984,0.73829,0.83037,0.38845,0.8309,0.0009308,0.0009308,0.0009308
29,16600.1,0.85073,0.41787,0.83679,0.98042,0.92348,0.98356,0.72787,0.83702,0.38954,0.83035,0.0008912,0.0008912,0.0008912
30,17057.6,0.83562,0.4042,0.83743,0.97322,0.93739,0.98465,0.74813,0.78807,0.37905,0.82059,0.0008516,0.0008516,0.0008516
31,17539.5,0.82934,0.40785,0.84159,0.96532,0.9513,0.98626,0.75133,0.81429,0.38396,0.82394,0.000812,0.000812,0.000812
32,18014.1,0.83763,0.40515,0.83475,0.97833,0.94209,0.98639,0.76443,0.78214,0.38005,0.82354,0.0007724,0.0007724,0.0007724
33,18493.5,0.82513,0.39428,0.83555,0.98548,0.94454,0.98921,0.75068,0.83688,0.39033,0.82965,0.0007328,0.0007328,0.0007328
34,18973,0.82495,0.39815,0.8401,0.96616,0.93913,0.98444,0.75,0.82271,0.38598,0.82706,0.0006932,0.0006932,0.0006932
35,19462.2,0.83779,0.40659,0.83795,0.96518,0.94002,0.98377,0.74771,0.80926,0.38379,0.82784,0.0006536,0.0006536,0.0006536
36,19942,0.80499,0.39707,0.83527,0.97431,0.92327,0.98403,0.74538,0.819,0.38268,0.82712,0.000614,0.000614,0.000614
37,20421.5,0.81943,0.39678,0.83648,0.9677,0.94087,0.98473,0.75467,0.79748,0.37106,0.82592,0.0005744,0.0005744,0.0005744
38,20920.6,0.78265,0.38606,0.83183,0.97093,0.95836,0.98831,0.76451,0.79187,0.36822,0.82558,0.0005348,0.0005348,0.0005348
39,21378.3,0.79307,0.38277,0.83112,0.97694,0.94957,0.98709,0.76294,0.78275,0.3676,0.82322,0.0004952,0.0004952,0.0004952
40,21854,0.78535,0.38285,0.83171,0.97313,0.94484,0.98533,0.76751,0.78113,0.37189,0.82561,0.0004556,0.0004556,0.0004556
41,22321.7,0.76025,0.36575,0.82692,0.9818,0.94174,0.98528,0.75495,0.7937,0.36327,0.82549,0.000416,0.000416,0.000416
42,22797.2,0.75131,0.36141,0.82497,0.97756,0.94702,0.98734,0.76228,0.79295,0.36271,0.82388,0.0003764,0.0003764,0.0003764
43,23261.5,0.74584,0.35745,0.82524,0.97212,0.95217,0.98745,0.76363,0.7908,0.36337,0.8241,0.0003368,0.0003368,0.0003368
44,23719.1,0.73984,0.35631,0.82142,0.97681,0.95243,0.98836,0.77252,0.76907,0.35343,0.82036,0.0002972,0.0002972,0.0002972
45,24175.4,0.72811,0.34672,0.82093,0.96929,0.95391,0.98657,0.77073,0.77877,0.3513,0.82258,0.0002576,0.0002576,0.0002576
46,24629.4,0.72305,0.34252,0.81819,0.96991,0.94609,0.9869,0.77043,0.77556,0.34583,0.82174,0.000218,0.000218,0.000218
47,25080.4,0.71799,0.34039,0.82034,0.97671,0.94174,0.98743,0.7737,0.7709,0.34742,0.82102,0.0001784,0.0001784,0.0001784
48,25531.9,0.71009,0.33947,0.8148,0.97416,0.94609,0.98588,0.77569,0.76716,0.34409,0.82164,0.0001388,0.0001388,0.0001388
49,25977.8,0.69762,0.33142,0.81894,0.97327,0.94986,0.98807,0.77916,0.75891,0.34405,0.81921,9.92e-05,9.92e-05,9.92e-05
50,26427.6,0.69731,0.33192,0.81803,0.97509,0.95302,0.98833,0.78013,0.76687,0.34537,0.82078,5.96e-05,5.96e-05,5.96e-05
